SGP_VRaw,SGP_NRaw,SGP_Vin,SGP_Nin,STC_CO2,STC_Temp,ENS_VOC,MiCO,MiNO2,MiNH3,GMVOC,GMODO,GMSMO,GMETH,GMH2S,Label
19528,8217,100,1,-8.28,0,59,4427,13062,263,1467,32767,12955,14246,18056,3
19533,8215,100,1,-8.66,0,54,4427,13062,263,1468,32767,12961,14258,18053,3
19539,8214,100,1,-8.53,0,56,4410,13066,263,1469,32767,12959,14254,18062,3
19527,8216,100,1,-8.07,0,51,4395,13068,263,1468,32767,12905,14162,18042,3
19526,8214,100,1,-8.49,0,72,4411,13039,261,1461,32767,12881,14071,18015,3
19527,8218,100,1,-8.33,0,83,4378,13002,260,1458,32767,12887,14060,18007,3
19526,8212,100,1,-8.59,0,85,4367,12977,259,1457,32767,12878,14070,18001,3
19505,8219,100,1,-8.58,0,80,4381,12965,259,1457,32767,12882,14080,17998,3
19520,8214,100,1,-8.49,0,83,4389,12953,260,1457,32767,12905,14097,17996,3
19515,8219,100,1,-8.41,0,84,4388,12950,260,1458,32767,12908,14083,17995,3
19518,8218,100,1,-8.3,0,76,4404,12945,260,1457,32767,12905,14103,17994,3
19519,8221,100,1,-8.73,0,77,4399,12945,260,1459,32767,12910,14123,17999,3
19520,8210,100,1,-8.73,0,74,4409,12951,260,1460,32767,12919,14117,18009,3
19518,8216,100,1,-8.46,0,65,4378,12958,261,1460,32767,12925,14117,18012,3
19515,8213,100,1,-8.52,0,70,4358,12965,260,1460,32767,12899,14073,18008,3
19526,8215,100,1,-8.68,0,69,4347,12970,260,1460,32767,12910,14060,18014,3
19524,8210,100,1,-8.58,0,71,4331,12975,260,1460,32767,12921,14043,18016,3
19524,8216,100,1,-8.56,0,65,4318,12981,260,1459,32767,12923,14006,18023,3
19518,8210,100,1,-8.39,0,63,4310,12980,260,1458,32767,12923,13977,18024,3
19507,8218,100,1,-8.41,0,57,4306,12985,260,1458,32767,12925,13968,18032,3
19519,8218,100,1,-8.48,0,64,4304,12989,260,1459,32767,12929,13962,18032,3
19510,8218,100,1,-8.7,0,70,4310,12994,260,1459,32767,12930,13959,18037,3
19500,8223,100,1,-8.53,0,66,4317,13002,260,1460,32767,12935,13955,18039,3
19503,8210,100,1,-8.34,0,62,4327,13013,260,1461,32767,12943,13964,18045,3
19501,8214,100,1,-8.66,0,65,4334,13019,261,1461,32767,12947,13993,18053,3
19507,8214,100,1,-8.51,0,62,4360,13028,261,1463,32767,12955,14040,18063,3
19503,8215,100,1,-8.43,0,58,4397,13037,262,1465,32767,12960,14086,18065,3
19508,8214,100,1,-8.68,0,55,4424,13049,262,1467,32767,12968,14122,18073,3
19526,8218,100,1,-8.68,0,60,4420,13062,263,1468,32767,12970,14104,18075,3
19521,8211,100,1,-8.36,0,56,4393,13069,263,1469,32767,12972,14101,18079,3
19521,8209,100,1,-8.38,0,62,4372,13073,262,1468,32767,12974,14092,18085,3
19524,8209,100,1,-8.6,0,58,4369,13076,262,1468,32767,12972,14063,18080,3
19527,8215,100,1,-8.66,0,57,4347,13075,262,1468,32767,12977,14081,18081,3
19520,8210,100,1,-8.61,0,53,4348,13078,262,1467,32767,12972,14101,18081,3
19522,8220,100,1,-8.53,0,56,4389,13080,262,1468,32767,12981,14128,18090,3
19522,8213,100,1,-8.51,0,54,4400,13085,262,1469,32767,12982,14137,18090,3
19517,8215,100,1,-8.4,0,62,4407,13089,263,1470,32767,12984,14148,18102,3
19533,8214,100,1,-8.47,0,61,4398,13093,263,1471,32767,12991,14166,18098,3
19524,8214,100,1,-8.55,0,53,4402,13097,263,1471,32767,12995,14185,18098,3
19529,8218,100,1,-8.23,0,59,4415,13100,263,1472,32767,12994,14174,18100,3
19529,8213,100,1,-8.65,0,53,4403,13100,263,1471,32767,12985,14121,18105,3
19522,8215,100,1,-8.43,0,67,4359,13095,262,1469,32767,12982,14081,18102,3
19528,8218,100,1,-8.31,0,59,4336,13087,262,1468,32767,12984,14064,18105,3
19521,8222,100,1,-8.42,0,66,4339,13085,261,1467,32767,12980,14035,18106,3
19517,8213,100,1,-8.37,0,55,4316,13081,261,1466,32767,12977,14006,18105,3
19522,8218,100,1,-8.43,0,70,4326,13076,261,1466,32767,12979,14016,18109,3
19520,8217,100,1,-8.49,0,60,4349,13072,261,1466,32767,12977,14046,18109,3
19521,8212,100,1,-8.74,0,68,4378,13073,261,1467,32767,12975,14072,18102,3
19514,8215,100,1,-8.26,0,69,4407,13073,262,1467,32767,12968,14095,18102,3
19524,8214,100,1,-8.55,0,67,4439,13072,262,1468,32767,12963,14116,18096,3
19524,8223,100,1,-8.74,0,65,4441,13071,262,1469,32767,12963,14110,18095,3
19528,8219,100,1,-8.28,0,67,4403,13070,262,1470,32767,12967,14105,18099,3
19513,8218,100,1,-8.66,0,69,4380,13073,262,1471,32767,12980,14136,18102,3
19529,8219,100,1,-8.47,0,67,4388,13076,262,1471,32767,12987,14154,18105,3
